paper_index,authors,title
80A6AF28,dimitrios katsaros + alexandros nanopoulos + yannis manolopoulos,A data mining algorithm for generalized Web prefetching
80372299,moise h goldstein + ben p yuhas + terrence j sejnowski,Integration of acoustic and visual speech signals using neural networks
7C42DFFB,leslie a cranston + bishwaranjan bhattacharjee + sriram padmanabhan + matthew huras + timothy r malkemus,Multi-dimensional clustering: a new data layout scheme in DB2
7F6F1751,george hartzell + zheng zhang + webb miller + gerald m rubin + liliana florea,A Computer Program for Aligning a cDNA Sequence with a Genomic DNA Sequence
795521CB,tapas kanungo + frederick r reiss,A characterization of the sensitivity of query optimization to storage access cost parameters
25C83DA8,leo breiman,1 RANDOM FORESTS
009BAA11,eric l miller + jean godby + ron daniel + stuart l weibel,Oclc/ncsa metadata workshop report
NE36415,"c. bohm, a. pryakhin, and m. schubert",the gausstree: efficient object identification of probabilistic feature vectors
769DEF86,dan gusfield,"Algorithms on Stings, Trees, and Sequences: Computer Science and Computational Biology"
NE36413,s. bu,preservation of patterns and input-output privacy
NE36418,"a. ailamaki, d. j. dewitt, m. d. hill, and d. a. wood","dbmss on a modern processor: where does time go? in the vldb journal, pages 266-277"
NE36419,m. a. bender,cache-oblivious b-trees
7F34DC29,wenfei fan + cheeyong chan + minos garofalakis,Secure XML querying with security views
7D65F87B,dragan tomic + istvan cseri + denis churin + adrian baras + wei yu + shankar pal + brandon berg + oliver seeliger + michael rys + eugene kogan + gideon schaller,XQuery implementation in a relational database system
7E13B6A8,carlo zaniolo + shuyao chien + zografoula vagena + donghui zhang + vassilis j tsotras,Efficient structural joins on indexed XML documents
7F3E3FD2,phillip b gibbons,Distinct Sampling for Highly-Accurate Answers to Distinct Values Queries and Event Reports
5BD9AFC8,judea pearl,Probabilistic reasoning in intelligent systems
7FB00C29,peter m fischer + jenspeter dittrich + donald kossmann,AGILE: adaptive indexing for context-aware information filters
NE34128,weblink,sap keynote: turning vision into reality: customer roadmaps to lower tco
NE34126,"u. petersen, s. dreyer, and n. paira",a flexible framework
NE34127,weblink,sap netweaver
NE34125,"v. markl, g. m. lohman, and v. raman",leo: an autonomic query optimizer for db2
NE34123,"m. keidl, s. seltzsam, k. stocker, and a. kemper",service-globe: distributing e-services across the internet (demonstration
NE34120,weblink,ibm dynamic infrastructure for mysap business suite
79A9601B,ning yu + kien a hua + khanh vu + danzhou liu,Efficient target search with relevance feedback for large CBIR systems
8013F894,gerhard weikum + surajit chaudhuri + gautam das + vagelis hristidis,Probabilistic ranking of database query results
7BDD6087,kenneth r grant + franklyn turbak + thomas w malone,The information lens: an intelligent system for information sharing in organizations
80224228,jeffrey f naughton + gang luo + michael w watzke + curt j ellmann,A comparison of three methods for join view maintenance in parallel RDBMS
5D06A371,haim kaplan + tova milo,Short and Simple Labels for Small Distances and Other Functions
81052DE1,ivan png + kailung hui + ilhorn hann + tom lee,Online Information Privacy: Measuring the Cost-Benefit Trade-Off
7D94888F,martina angela sasse + anna bouch,"It ain't what you charge, it's the way that you do it: a user perspective of network QoS and pricing"
7D2BB376,julius p kumquat + shashi shekhar + jin soung yoo + j l smith,A partial join approach for mining co-location patterns
77DA6504,wei hong + michael j franklin + amol deshpande + sirish chandrasekaran + owen cooper + samuel madden + frederick r reiss + joseph m hellerstein + sailesh krishnamurthy + mehul a shah,TelegraphCQ: continuous dataflow processing
77BD5570,erhard rahm + philip a bernstein,A survey of approaches to automatic schema matching
61D61880,riccardo rosati + daniele nardi + giuseppe de giacomo + diego calvanese + maurizio lenzerini,Knowledge Representation Approach to Information Integration
0C0D2740,ahmed abdelwahab + ian t jolliffe,Springer series in statistics
8178EE71,roberto j bayardo + rakesh agrawal,Mining the most interesting rules
5F4C67B0,frank olken,Random Sampling from Databases
67992BC5,david cohn + huan chang,Learning to Probabilistically Identify Authoritative Documents
782422D8,cristiana amza + ashraf aboulnaga + kenneth salem,Virtualization and databases: state of the art and research challenges
7FD92AF8,philippe bruneaut + lucio marcenaro + timothy patrick kelliher + andrea cavallaro + francesco ziliani + fatih porikli + sergio a velastin,Performance evaluation of event detection solutions: the CREDS experience
7DB303F1,nicolas bruno + surajit chaudhuri,Automatic physical database tuning: a relaxation-based approach
7C7D8244,weiying ma + zaiqing nie + jirong wen + bo zhang + jun zhu,2D Conditional Random Fields for Web information extraction
78DD7B78,bin he + kevin chenchuan chang + jiawei han,Discovering complex matchings across web query interfaces: a correlation mining approach
75EA32F8,marc gyssens + peter jeavons + david a cohen,Decomposing constraint satisfaction problems using database techniques
NE32402,"m.-l. lee, w. hsu, c. s. jensen, and k. l. teo",supporting frequent updates in r-trees: a bottom-up approach
NE17324,"h. mannila, h. toivonen, and a. verkamo",efficient algorithms for discovering association rules
NE35990,ye,ioannidis
NE35993,"m. grohe, t. schwentick, and l. segoufin",when is the evaluation of conjunctive queries tractable
81CF80C7,ron obermarck + bruce lindsay + chilukuri k mohan,Transaction management in the R* distributed database management system
NE35995,n. robertson and p.d. seymour,graph minors ii
NE35996,weblink,francesco scarcello and alfredo mazzitelli
7AC62B09,james allan kahle + theodore r maeurer + michael norman day + charles ray johns + david j shippy + harm peter hofstee,Introduction to the cell multiprocessor
7893A7EC,abhijit pol + christopher jermaine + subramanian arumugam,Online maintenance of very large random samples
5A57CC8F,karl aberer + ivana podnar + toan luu + martin rajman + fabius klemm,A Peer-to-Peer Architecture for Information Retrieval Across Digital Library Collections
827992CF,huimin zhao,Clustering Schema Elements for Semantic Integration of Heterogeneous Data Sources
5C2BA9B3,jun zhang + dimitris papadias + panos kalnis + yufei tao,Efficient OLAP Operations in Spatial Data Warehouses
7F0AD38A,anind k dey + daniel salber + gregory d abowd,The context toolkit: aiding the development of context-enabled applications
NE30927,m. j. mcphaden,tropical atmosphere ocean project
75A63A77,chavdar botev + feng shao + lin guo + jayavel shanmugasundaram,XRANK: ranked keyword search over XML documents
76CFD892,rakesh agrawal + jerry kiernan + peter j haas,A system for watermarking relational databases
7DF4A2A3,andrea rodriguez + ricardo baezayates + carlos castillo + mauricio marin,Crawling a country: better strategies than breadth-first for web page ordering
761B102E,senching s cheung + avideh zakhor,Efficient video similarity measurement with video signature
0E38DA9E,mario r f benevides + marta mattoso + paulo de figueiredo pires,Building Reliable Web Services Compositions
83180596,phillip b gibbons + viswanath poosala + swarup acharya,Congressional samples for approximate answering of group-by queries
80E05FF1,s yu philip + jiawei han + jiong yang + xiaoxin yin,CrossMine: efficient classification across multiple database relations
NE11833,h. v. jagadish,semantic compression and pattern extraction with fascicles
5F37CFFA,borkur sigurbjornsson + andrew trotman,Narrowed extended XPath i (NEXI)
0C187592,svetlana lazebnik + jean ponce + cordelia schmid,Sparse Texture Representation Using Affine-Invariant Neighborhoods
7BF00D8F,michael steinbrunn + alfons kemper + guido moerkotte,Heuristic and randomized optimization for the join ordering problem
0A803773,j y chen + shiby thomas + susie stephens,ODM BLAST: Sequence Homology Search in the RDBMS
7C766DB7,long zhang + ying chen + ying li + x l yu + fangyan rao,Spatial hierarchy and OLAP-favored search in spatial data warehouse
096B450D,michel beigbeder + amelie imafouo,An experimental methodol-ogy to study collections size impact on retrieval effective-ness
790E3B4F,brahim medjahed + ahmed k elmagarmid + boualem benatallah + anne h h ngu + athman bouguettaya,Business-to-business interactions: issues and enabling technologies
81301DE5,kunwadee sripanidkulchai + hui zhang + bruce m maggs,Efficient content location using interest-based locality in peer-to-peer systems
7D005CF8,uri shaft + karl dias + mark ramacher + venkateshwaran venkataramani + oracle parkway,Automatic Performance Diagnosis and Tuning in Oracle
81889984,sanjay ghemawat + jeffrey dean,MapReduce: simplified data processing on large clusters
7EA28A4E,sihem ameryahia + laks v s lakshmanan + sungran cho + divesh srivastava,Minimization of tree pattern queries
77FD595B,noga alon + yossi matias + mario szegedy + phillip b gibbons,Tracking join and self-join sizes in limited storage
803A6494,yannis ioannidis,The history of histograms (abridged)
7E4BA692,sheng ma + joseph l hellerstein,Mining partially periodic event patterns with unknown periods
807DCB9A,flavius frasincar + geertjan houben + p b barna + richard vdovjak,RAL: An Algebra for Querying RDF
7D432C2F,ioana manolescu + yannis papakonstantinou,XQuery midflight: emerging database-oriented paradigms and a classification of research advances
7DEA13E6,leah s larkey + margaret e connell + jamie callan,Collection selection and results merging with topically organized U.S. patents and TREC data
77FC436B,emanuel g noik + f ch eigler + alberto o mendelzon + dimitra vista + mariano p consens + masum z hasan + arthur g ryman,Architecture and applications of the Hy + visualization system
7F569EBA,tok wang ling + changqing li,QED: a novel quaternary encoding to completely avoid re-labeling in XML updates
5F98208B,christian zimmer + matthias bender + gerhard weikum + sebastian michel + peter triantafillou,MINERVA: collaborative P2P search
801E757F,richard l rudell,Dynamic variable ordering for ordered binary decision diagrams
NE36177,"a. halverson, j. beckmann, and j. naughton",a comparison of c-store and row-store in a common framework
NE36176,g. copeland and s. khoshafian,a decomposition storage model
NE36174,weblink,c-store code release under bsd license
NE36172,a. silberstein and j. yang,multiple aggregation for in-network control of sensors
NE36171,p. mohapatra and s. krishnamurthy,"ad hoc networks technologies and protocols, chapter multicasting in ad hoc networks"
NE36170,"a. mainwaring, r. szewczyk, j. anderson, and j. polastre",great duck island
7AB50B56,rong yan + jun yang + alexander g hauptmann,Multiple instance learning for labeling faces in broadcasting news video
8006E0F9,roger lueder + jim gemmell + gordon bell,The MyLifeBits lifetime store
5F940874,a adami + tamara l hayes + misha pavel,Unobtrusive monitoring of sleep patterns
7FBC9760,richard m karp + benny chor + amir bendor + zohar yakhini,Discovering local structure in gene expression data: the order-preserving submatrix problem
06A15A1E,richard vuduc + katherine yelick + eastwood im,SPARSITY: Framework for optimiz-ing sparse matrix-vector multiply
5F9DCF64,torsten schlieder,Schema-Driven Evaluation of Approximate Tree-Pattern Queries
7CF97E50,peter willett + eleanor j gardiner + john w raymond,RASCAL: calculation of graph similarity using maximum common edge subgraphs
812E07BA,thomas g dietterich,Approximate statistical tests for comparing supervised classification learning algorithms
7FFAEBA4,gerd kortuem + stephen fickas + jay schneider + zary segall + dustin preuitt + thaddeus g cowan thompson,When peer-to-peer comes face-to-face: collaborative peer-to-peer computing in mobile ad-hoc networks
7DCAE7C7,ron obermarck + bruce lindsay + george lapis + laura m haas + alistair r walker + richard a j williams + d daniels + patricia griffiths selinger + p ng + robert a yost + paul f wilms,R: an overview of the architecture
7B89DA05,michael kearns,Efficient noise-tolerant learning from statistical queries
58DE2C30,jiawei han + senqiang zhou + ke wang,Profit Mining: From Patterns to Actions
5D6C196A,peter d turney,Mining the Web for Synonyms: PMI-IR versus LSA on TOEFL
7EF82BAC,dongkweon hong + theodore johnson + sharma chakravarthy,Real-time transaction scheduling: a cost conscious approach
81223656,srikanta tirthapura + phillip b gibbons,Distributed Streams Algorithms for Sliding Windows
78525D29,sven helmer,Evaluating different approaches for indexing fuzzy sets
7978296B,scott ferson + lev r ginzburg + vladik kreinovich + luc longpre + monica aviles,Computing variance for interval data is NP-hard
10C9E0EA,robin d burke,Hybrid Recommender Systems: Survey and Experiments
NE15036,m. w. jeffrey scott vitter,approximate computation of multidimensional aggregates of sparse data using wavelets
6F0309B9,gregory r ganger + jiri schindler + steven w schlosser + anastassia ailamaki,Exposing and Exploiting Internal Parallelism in MEMS-Based Storage
7B57C7D0,yong rui + sharad mehrotra + thomas s huang,Relevance feedback techniques in interactive content-based image retrieval
80E36E01,miron livny + michael j carey + hweehwa pang,Multiclass query scheduling in real-time database systems
7CDC5313,derick wood + anne bruggemannklein,On predictive parsing and extended context-free grammars
5E39FAC2,hristo koshutanski + fabio massacci,Interactive credential negotiation for stateful business processes
813BF454,c lee giles + kurt d bollacker + steve lawrence,CiteSeer: an automatic citation indexing system
8003918A,rajeev motwani + piotr indyk,Approximate nearest neighbors: towards removing the curse of dimensionality
7AE5DD56,divesh srivastava + nick koudas + nicolas bruno,Holistic twig joins: optimal XML pattern matching
5CFC23C0,dorothy moore + paul brown + michael stonebraker,Object-Relational DBMSs: Tracking the Next Great Wave
032646A5,mihalis yannakakis,Algorithms for acyclic database schemes
7E14828D,alexey pryakhin + hanspeter kriegel + matthias schubert + peer kroger,Effective and efficient distributed model-based clustering
5AA202C5,shinji kawasoe + tatsuya asai + kenji abe + setsuo arikawa + hiroshi sakamoto,Efficient Substructure Discovery from Large Semi-structured Data
812313D9,tomasz imielinski + rakesh agrawal + arun n swami,Mining association rules between sets of items in large databases
75508398,p v larson + neil coburn + jose a blakeley,Updating derived relations: detecting irrelevant and autonomously computable updates
8090FAD7,hermann ney + franz josef och,A systematic comparison of various statistical alignment models
7EE48A59,ramakrishnan srikant + rakesh agrawal,Privacy-preserving data mining
08365F36,w c tan,Research Problems in Data Provenance
5C2717EA,amr el abbadi + khaled a s abdelghaffar,Optimal Allocation of Two-Dimensional Data
7EF16D8D,josep maria mateosanz + josep domingoferrer,Practical data-oriented microaggregation for statistical disclosure control
80CF447B,shariq j rizvi + jayant r haritsa,Maintaining data privacy in association rule mining
76FA3736,tadao murata,"Petri nets: Properties, analysis and applications"
85925390,chris buckley + gerard salton,Term Weighting Approaches in Automatic Text Retrieval
8098DC41,ahmed k elmagarmid + athman bouguettaya + brahim medjahed,Composing Web services on the Semantic Web
63E7C862,roni khardon + heikki mannila + dimitrios gunopulos + hannu toivonen,"Data mining, hypergraph transversals, and machine learning"
5BCAADE6,yu hu + michael d smith + erik brynjolfsson,Consumer Surplus in the Digital Economy: Estimating the Value of Increased Product Variety
0B13C4DE,fabio ciravegna + jose iri,Relation Extraction for Mining the Semantic Web
NE9079,"piatesky-shapiro , g, matheus , c",the interestingness of deviations
64BA52FB,tetsuji satoh + yutaka yanagisawa + hidetoshi kido,An anonymous communication technique using dummies for location-based services
802ED16B,subbarao kambhampati + ullas nambiar,Answering imprecise queries over web databases
NE34994,j. g. jan chomicki,parke godfrey and d
7C48BEFA,roberta evans sabin + tieng k yap,Integrating information retrieval techniques with traditional DB methods in a Web-based database browser
7DA56095,shashi shekhar + yan huang + hui xiong,Discovering colocation patterns from spatial data sets: a general approach
5A0AB44C,charles william morris,Foundations of the theory of signs
75D262B7,dimitris papadias + bin liu + christos faloutsos + yufei tao,Prediction and indexing of moving objects with unknown motion patterns
5ED37EF0,florian krebs + christian bohm,Supporting KDD Applications by the k-Nearest Neighbor Join
08D02ABD,cory reina + usama fayyad + paul s bradley,Scaling Clustering Algorithms to Large Databases
7A9F0C84,david w embley,NFQL: the natural forms query language
77F51255,cristian estan + george varghese,"New directions in traffic measurement and accounting: Focusing on the elephants, ignoring the mice"
7981FD0D,wes irish + doug terry + daniel c swinehart + scott shenker + carl h hauser + alan demers + howard e sturgis + john larson + daniel h greene,Epidemic algorithms for replicated database maintenance
5F4E375A,c t yu + r haddad + a prasad sistla,Reasoning About Spatial Relationships in Picture Retrieval Systems
0FA4DE56,andrew layman + hamid pirahesh + adam bosworth + jim gray,"Data Cube: A Relational Aggregation Operator Generalizing Group-By, Cross-Tab, and Sub-Totals"
807C551D,ronald l rivest,Partial-Match Retrieval Algorithms
5F9098A9,zhengxiang pan + jeff heflin,DLDB: Extending Relational Databases to Support Semantic Web Queries
7C05A6EA,yossi matias + mario szegedy + noga alon,The space complexity of approximating the frequency moments
8147B5DD,nikos mamoulis + david w cheung + man lung yiu + k h cheng,Efficient Aggregation of Ranked Inputs
7ED32D02,neal cardwell + henry m levy + m voelker + anna r karlin + alec wolman + nitin sharma,On the scale and performance of cooperative Web proxy caching
7D30B7D0,hongjun lu + jing hu + beng chin ooi + chenyi xia,Gorder: an efficient method for KNN join processing
7B8DAA1A,alon y levy + alberto o mendelzon + daniela florescu,Database techniques for the World-Wide Web: a survey
7EBE7433,ariel salomon + beth logan,A music similarity function based on signal analysis
7F408FC2,guido schimm + w m p van der aalst + b f van dongen + a j m m weijters + laura maruster + joachim herbst,Workflow mining: a survey of issues and approaches
7F8C6A0C,heinrich kuhn,The Hungarian method for the assignment problem
8122E1EF,mingchien shan + mehmet sayal + malu castellanos + umeshwar dayal + fabio casati + daniela grigori,Business process intelligence
5F92931B,george kollios + vassil kriakov + alex delis,Management of Highly Dynamic Multidimensional Data in a Cluster of Workstations
7E364B42,jianyong wang + jiawei han + charu c aggarwal + philip s yu,A framework for projected clustering of high dimensional data streams
7E91B124,d s alexander + pankaj kakkar + angelos d keromytis + michael hicks + william a arbaugh + jonathan t moore + carl a gunter + jonathan m smith + scott nettles,The SwitchWare active network architecture
NE34926,w.b. croft and j.laffery,language modelling and information retrieval
7F34D158,richard simon + mary ellen zurko,Separation of duty in role-based environments
NE34924,"e.agichtein, p.ipeirotis, and l.gravano",modelling query-based access to text databases
NE34925,m.k.bergman,the deep web: surfacing hidden value
NE34923,weblink,msn shopping
NE34928,"h. he, w. meng. c. yu and z. wu",wise-integrator: an automatic integrator of web search interfaces for e-commerce
7.24E+07,min wang + sriram padmanabhan + jeffrey scott vitter + lipyeow lim + ronald parr,XPathLearner: an on-line self-tuning Markov histogram for XML path selectivity estimation
85C83E74,derick wood + byron choi + malika mahoui,On the optimality of holistic algorithms for twig queries
7D115FB1,sheldon m ross,A first course in probability
7F617051,lise getoor + v s subrahmanian + edward hung,PXML: a probabilistic semistructured data model and algebra
7E50790B,ion stoica + rodrigo fonseca + byunggon chun + john kubiatowicz,Characterizing selfishly constructed overlay routing networks
038DA278,dave anderson + jim dykes + erik riedel,More Than an Interface---SCSI vs. ATA
81288728,anish das sarma + jennifer widom + omar benjelloun + alon halevy,ULDBs: databases with uncertainty and lineage
0C589ABF,rayid ghani + r h jones,Automatic training data collection for semi-supervised learning of information extraction systems
7F5ADCE1,gerome miklau + dan suciu,A formal analysis of information disclosure in data exchange
7A05DFCF,kevin s mccurley + christos faloutsos + andrew tomkins,Fast discovery of connection subgraphs
6D6FAC5B,natasha sharygina + byron cook + daniel kroening,Cogent: accurate theorem proving for program verification
77DBBFD4,yannis ioannidis + stavros christodoulakis,Optimal histograms for limiting worst-case error propagation in the size of join results
0DDC2DF1,jamie callan,Distributed Information Retrieval
01CC6EAB,vincent oria + lei chen + m tamer ozsu,Modeling Video Data for Content Based Queries: Extending the DISIMA Image Data Model
NE23095,o. goldreich,foundations of cryptography: volume 2 basic applications
7D223C51,jennifer widom + arvind arasu + shivnath babu,The CQL continuous query language: semantic foundations and query execution
7D3964D9,mikhail j atallah + radu sion + sunil prabhakar,Rights protection for relational data
7C009626,albert gatt + judith masthoff,In pursuit of satisfaction and the prevention of embarrassment: affective state in group recommender systems
77F5E529,tim bell + ian h witten + john g cleary,Modeling for text compression
NE36417,tipster information-retrieval text research collection on cdrom,gaithersburg
5D752F76,karl aberer + ivana podnar + toan luu + martin rajman + fabius klemm,Beyond term indexing: A P2P framework for web information retrieval
739900BF,jennifer golbeck,Computing and applying trust in web-based social networks
7A89EC57,paul ogilvie + jamie callan,The effectiveness of query expansion for distributed information retrieval
260409F0,ken england + lilian hobbs,"Rdb, a comprehensive guide"
7EDB916C,wei wang + hongjun lu + jianlin feng + jeffrey xu yu,Condensed cube: an effective approach to reducing data cube size
5B5F8DAD,siva ravada + kothuri venkata ravi kanth,Efficient Processing of Large Spatial Queries Using Interior Approximations
7EE77184,ashish gupta + dan suciu,Stream processing of XPath queries with predicates
7630D297,kostas gratsias + yannis theodoridis + nikos pelekis + elias frentzos,Algorithms for Nearest Neighbor Search on Moving Object Trajectories
7F882D17,w m p + van der aalst,"Business process management demystified : a tutorial on models, systems and standards for workflow management"
58D687BF,sharma chakravarthy + shiby thomas,Performance Evaluation and Optimization of Join Queries for Association Rule Mining
7EE1BD49,junqiang liu + jiawei han + yunhe pan + ke wang,Mining frequent item sets by opportunistic projection
7CFCDAFC,mong li lee + xiaofeng meng + daofeng luo + jing an,OrientStore: a schema based native XML storage system
7F2FFAAF,bernard pagurek + babak esfandiari + vladimir tosic + weiying ma,Web Service Offerings Infrastructure (WSOI) - a management infrastructure for XML Web services
NE35329,"kaufmann l, , rousseeuw p.j.: finding groups in data: an introduction to cluster analysis. johnwiley & sons",n/a
NE35327,"c. zhang, a. krishnamurthy, and r. y. wang",skipindex: towards a scalable peer-to-peer index service for high dimensional data
5D05D8B5,richard p martin + thu d nguyen + fabio oliveira + ricardo bianchini + kiran nagaraja,Understanding and dealing with operator mistakes in internet services
NE35457,g. moore,racelab sensor network project
NE35451,gnutella protocol v.0.6. rfc-gnutella.sourceforge.net/src/rfc-0_6-draft. html,2002
NE35450,weblink,n/a
NE35320,j. aspnes and g. shah,skip graphs
0E10A117,shafi goldwasser + laszlo lovasz + uriel feige + mario szegedy + shmuel safra,Approximating clique is almost NP-complete
7C923F86,walid g aref + chiyin chow + mohamed f mokbel,The new Casper: query processing for location services without compromising privacy
7EA23108,huseyin polat + wenliang du,Privacy-preserving collaborative filtering using randomized perturbation techniques
7E9E93A6,wei fan + changshing perng + haixun wang + philip s yu + sanghyun park,Indexing weighted-sequences in large databases
0161B1E7,edgar frank codd,Is your DBMS really relational? Computerworld
7F4851A0,maureen heymans + ambuj k singh,Deriving phylogenetic trees from the similarity analysis of metabolic pathways
8103C4F1,budak arpinar + john a miller + eileen kraemer + krys j kochut + jorge cardoso + jonathan arnold + amit p sheth,IntelliGEN: A Distributed Workflow System for Discovering Protein-Protein Interactions
5F61C84F,beng chin ooi + ooi kianlee tan + kianlee tan + beng chin + cui yu,Progressive KNN Search Using B+-trees
80F44DE7,christine parent + stefano spaccapietra,View integration: a step forward in solving structural conflicts
69897572,andreas henrich,The LSD/sup h/-tree: an access structure for feature vectors
NE4343,H. T. Shen+Y. Shu+B. Yu,Efficient semantic-based content search in P2P network
7DCD63BE,min cai + jinbo chen + pedro szekely + martin frank,MAAN: a multi-attribute addressable network for grid information services
782DCCC1,mikhail j atallah + wenliang du,Secure multi-party computation problems and their applications: a review and open problems
7DF85657,nabil r adam + john c worthmann,Security-control methods for statistical databases: a comparative study
NE36785,"r. murthy, s",banerjee: xml schemas in oracle xml db
NE36786,"m. krishnaprasad, z. hua liu, a. manikutty, j. warner, v. arora, s","kotsovolos: query rewrite for xml in oracle xmldb,vldb"
NE36787,"f. ozcan, r. cochrane, h. pirahesh, j. kleewein, k. beyer, v. josifovski, c",zhang: system rx: one part relational
7FAA70FB,rina dechter,Bucket elimination: a unifying framework for probabilistic inference
NE36788,"r. murthy, z. hua liu, m. krishnaprasad, s. chandrasekar, a. tran, e. sedlar, d. florescu, s. kotsovolos, n. agarwal, v. arora, v",krishnamurthy: towards an enterprise xml architecture
NE36789,"m. yoshikawa, t. amagasa, t. shimura, s",uemura: xrel: a path-based approach to storage and retrieval of xml documents using relational databases
77B78357,n r patel + mahesh kumar + jonathan woo,Clustering seasonality patterns in the presence of errors
7F10A3D0,dimitris papadias + qiongmao shen + kyriakos mouratidis + yufei tao,Group nearest neighbor queries
7637B7F0,m tamer ozsu + shu lin + paul j iglinski + vincent oria,Similarity queries in the DISIMA image DBMS
82418234,yong yao + johannes gehrke,Query Processing for Sensor Networks
NE33449,r. motwani,"query processing, resource management, and approximation in a data stream management system"
NE34324,u. of pennsylvania,the penn treebank project
NE34325,r. pito,tgrep manual
NE34494,m. worboys,gis: a computing perspective
NE34495,i. chabini,discrete dynamic shortest path problems in transportation applications
NE34493,"p. rigaux, m. scholl, and a. voisard",spatial databases
7787A807,edward sciore + arnon rosenthal + michael siegel,Using semantic values to facilitate interoperability among heterogeneous information systems
798E9AD4,mario a nascimento + alexandre x falcao + renato o stehling,A compact and efficient image retrieval approach based on border/interior pixel classification
7877EBA6,gio wiederhold + k y whang + sang wook kim,Dynamic maintenance of data distribution for selectivity estimation
7D45BF8E,witold litwin + m a neimat,k-RP*s: a scalable distributed data structure for high-performance multi-attribute access
NE36438,"p. spiess, c. bomhovd, t. lin, s. haller, and j. schaper",going beyond auto-id: a service-oriented smart items infrastructure
81B01609,moni naor + omer reingold + eyal kaplan,Derandomized constructions of k -wise (almost) independent permutations
NE36434,"h. galhardas, d. florescu, d. shasha, e. simon, and e. saita",declarative data cleaning
7DE80E4C,nicu sebe + xiang zhou + thomas s huang + michael s lew + erwin m bakker,The state of the art in image and video retrieval
7B0C01A9,rakesh agrawal + yirong xu + diana zhou + kristen lefevre + ameet kini + amy wang,Managing healthcare data hippocratically
62F2C685,bart orriens + jian yang + mike papazoglou,A Framework for Business Rule Driven Web Service Composition
5931BB8C,ahmed elrabbany,"Introduction to GPS, The Global Positioning System"
NE34148,weblink,n/a
NE34149,weblink,n/a
6F118002,yong yao + johannes gehrke + niki trigoni + rajmohan rajaraman + alan demers,Hybrid Push−Pull Query Processing for Sensor Networks
NE34577,weblink,computational infrastructure for operations research
8267F0F0,dale kirkland + dennis lee + henry g goldberg + ping shyr + dipak thakker,"The NASD Securities Observation, News Analysis & Regulation System (SONAR)"
7941AE54,yahiko kambayashi + mukesh mohania,Making aggregate views self-maintainable
76F03592,reynold cheng + dmitri v kalashnikov + sunil prabhakar,Querying imprecise data in moving object environments
NE34146,weblink,n/a
NE34147,weblink,n/a
7F20B9F1,lukasz golab + m tamer ozsu,Issues in data stream management
